"Freq [GHz]","im(Y(JJ,JJ)) []","re(Y(JJ,JJ)) []"
3.5,0.00203005306131139,1.97475736270032E-09
3.50014401152092,0.00203014041044154,1.97496071748843E-09
3.50028802304184,0.00203022776009559,1.97516409434365E-09
3.50043203456277,0.00203031511027359,1.97536749335526E-09
3.50057604608369,0.00203040246097557,1.97557091929643E-09
3.50072005760461,0.00203048981220157,1.97577436677468E-09
3.50086406912553,0.00203057716395163,1.97597783882838E-09
3.50100808064645,0.0020306645162258,1.97618133513049E-09
3.50115209216737,0.00203075186902411,1.97638485417438E-09
3.50129610368829,0.0020308392223466,1.97658839514729E-09
3.50144011520922,0.00203092657619333,1.97679196244061E-09
3.50158412673014,0.00203101393056431,1.97699555309058E-09
3.50172813825106,0.0020311012854596,1.97719916697831E-09
3.50187214977198,0.00203118864087924,1.97740280568495E-09
3.5020161612929,0.00203127599682326,1.97760646631606E-09
3.50216017281382,0.00203136335329171,1.97781015333242E-09
3.50230418433475,0.00203145071028463,1.97801386130686E-09
3.50244819585567,0.00203153806780205,1.97821759331246E-09
3.50259220737659,0.00203162542584402,1.97842135016704E-09
3.50273621889751,0.00203171278441058,1.97862513022516E-09
3.50288023041843,0.00203180014350177,1.9788289352414E-09
3.50302424193936,0.00203188750311764,1.97903276228658E-09
3.50316825346028,0.00203197486325821,1.97923661318477E-09
3.5033122649812,0.00203206222392353,1.97944048996808E-09
3.50345627650212,0.00203214958511364,1.9796443887012E-09
3.50360028802304,0.00203223694682858,1.97984831072239E-09
3.50374429954396,0.00203232430906839,1.9800522560862E-09
3.50388831106489,0.00203241167183312,1.98025622620023E-09
3.50403232258581,0.0020324990351228,1.98046022188238E-09
3.50417633410673,0.00203258639893747,1.98066423791362E-09
3.50432034562765,0.00203267376327718,1.98086827861588E-09
3.50446435714857,0.00203276112814196,1.9810723455009E-09
3.50460836866949,0.00203284849353186,1.98127643348841E-09
3.50475238019042,0.00203293585944691,1.98148054665747E-09
3.50489639171134,0.00203302322588716,1.98168468239122E-09
3.50504040323226,0.00203311059285264,1.98188884324214E-09
3.50518441475318,0.00203319796034341,1.98209302572593E-09
3.5053284262741,0.00203328532835948,1.98229723357471E-09
3.50547243779502,0.00203337269690092,1.98250146611442E-09
3.50561644931595,0.00203346006596777,1.98270572086685E-09
3.50576046083687,0.00203354743556004,1.98291000052335E-09
3.50590447235779,0.0020336348056778,1.98311430229345E-09
3.50604848387871,0.00203372217632108,1.98331863133175E-09
3.50619249539963,0.00203380954748992,1.98352298023342E-09
3.50633650692055,0.00203389691918436,1.98372735543677E-09
3.50648051844148,0.00203398429140445,1.9839317515492E-09
3.5066245299624,0.00203407166415022,1.98413617278862E-09
3.50676854148332,0.00203415903742171,1.98434061966051E-09
3.50691255300424,0.00203424641121896,1.9845450894785E-09
3.50705656452516,0.00203433378554203,1.9847495826787E-09
3.50720057604608,0.00203442116039093,1.98495409768496E-09
3.50734458756701,0.00203450853576574,1.98515863930485E-09
3.50748859908793,0.00203459591166646,1.98536320488675E-09
3.50763261060885,0.00203468328809315,1.98556779299324E-09
3.50777662212977,0.00203477066504585,1.98577240596861E-09
3.50792063365069,0.0020348580425246,1.98597704143873E-09
3.50806464517161,0.00203494542052944,1.98618169977028E-09
3.50820865669254,0.00203503279906041,1.9863863835157E-09
3.50835266821346,0.00203512017811756,1.98659109120295E-09
3.50849667973438,0.00203520755770091,1.98679582368444E-09
3.5086406912553,0.00203529493781052,1.98700057862067E-09
3.50878470277622,0.00203538231844642,1.98720535724571E-09
3.50892871429714,0.00203546969960866,1.98741015940583E-09
3.50907272581807,0.00203555708129727,1.98761498484318E-09
3.50921673733899,0.0020356444635123,1.98781983517353E-09
3.50936074885991,0.00203573184625379,1.98802470885531E-09
3.50950476038083,0.00203581922952177,1.98822960753891E-09
3.50964877190175,0.0020359066133163,1.98843452909299E-09
3.50979278342267,0.0020359939976374,1.98863947447404E-09
3.5099367949436,0.00203608138248513,1.98884444488134E-09
3.51008080646452,0.00203616876785951,1.9890494378714E-09
3.51022481798544,0.00203625615376059,1.98925445394961E-09
3.51036882950636,0.00203634354018842,1.98945949566838E-09
3.51051284102728,0.00203643092714303,1.98966455905756E-09
3.5106568525482,0.00203651831462447,1.98986964798794E-09
3.51080086406913,0.00203660570263278,1.9900747586628E-09
3.51094487559005,0.00203669309116798,1.99027989828367E-09
3.51108888711097,0.00203678048023014,1.99048505590675E-09
3.51123289863189,0.00203686786981928,1.99069024116212E-09
3.51137691015281,0.00203695525993545,1.99089544872651E-09
3.51152092167373,0.00203704265057869,1.99110068156864E-09
3.51166493319466,0.00203713004174905,1.9913059369673E-09
3.51180894471558,0.00203721743344655,1.99151121608716E-09
3.5119529562365,0.00203730482567125,1.99171651960705E-09
3.51209696775742,0.00203739221842318,1.99192184584663E-09
3.51224097927834,0.00203747961170238,1.99212719753174E-09
3.51238499079926,0.0020375670055089,1.99233257152483E-09
3.51252900232019,0.00203765439984278,1.99253797079458E-09
3.51267301384111,0.00203774179470405,1.99274339244639E-09
3.51281702536203,0.00203782919009276,1.99294884125301E-09
3.51296103688295,0.00203791658600895,1.99315430887275E-09
3.51310504840387,0.00203800398245266,1.99335980573359E-09
3.51324905992479,0.00203809137942393,1.9935653223142E-09
3.51339307144572,0.00203817877692281,1.99377086335264E-09
3.51353708296664,0.00203826617494933,1.99397642942374E-09
3.51368109448756,0.00203835357350353,1.99418202009607E-09
3.51382510600848,0.00203844097258545,1.9943876320933E-09
3.5139691175294,0.00203852837219514,1.99459327063923E-09
